福建-台湾,#genre#
制作不易,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
东南卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1
福建乡村振兴公共,http://39.135.55.105:6610/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1
福建少儿,http://39.135.55.105:6610/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1
福建教育,http://39.135.55.105:6610/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1
福建文体,http://39.135.55.105:6610/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1
福建新闻,http://39.135.55.105:6610/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1
福建旅游,http://39.135.55.105:6610/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1
福建电视剧,http://39.135.55.105:6610/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1
福建经济,http://39.135.55.105:6610/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1
福建综合,http://39.135.55.105:6610/PLTV/88888888/224/3221227149/index.m3u8?servicetype=1
厦门1,http://39.135.55.105:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1
厦门1,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
厦门2,http://39.135.55.105:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1
厦门2,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
厦门3,http://39.135.55.105:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1
厦门3,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
厦门卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8
海峡卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1
黑莓电影,http://39.135.55.105:6610/PLTV/88888888/224/3221227448/index.m3u8?servicetype=1
黑莓动画,http://39.135.55.105:6610/PLTV/88888888/224/3221227303/index.m3u8?servicetype=1
中视,rtmp://f13h.mine.nu/sat/tv091
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
华视,rtmp://f13h.mine.nu/sat/tv111
民视台湾,http://ali.hlspull.yximgs.com/live/awei_mstw.flv
民视第一,http://ali.hlspull.yximgs.com/live/awei_msdy.flv
公视,https://ali.hlspull.yximgs.com/live/moa117.flv
小公视台,https://stream1.freetv.fun/f415852174b30f1fc43d85ce4bf9347586de6f2d688ba1fe1a4095a9db20dcdd.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
FH电影,https://ali.hlspull.yximgs.com/live/diyp_fhdy.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net:443/bltvhd/bltv1/chunklist.m3u8
ChannelV,http://vl15191373.imwork.net:8880/udp/239.93.1.7:2194
台湾台,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
狐视频,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
美亚台湾,http://ali.hlspull.yximgs.com/live/awei_mydy.flv
美亚国语,http://fr-us7.jdiptv.cc/live/xgmydygy.m3u8?kdstime=1743859381&kdssign=0a4319dd594b828e5ba42925247e6dab&token=8d81b272dc5f5248015f14f0ae3d6870
pₒₚc电影,http://fr-us7.jdiptv.cc/live/popc.m3u8?kdstime=1743859248&kdssign=37b16f70cf1353cd79729559de2a49a4&token=8d81b272dc5f5248015f14f0ae3d6870
pₒₚc电影,https://live.tvfix.org/live/popc/index.m3u8
pₒₚc电影,https://100.061833.xyz/stream/mytv/popc/stream.m3u8?uid=983595266&u=yui456&p=29624e2e4c4ccee26ed8f3e0ca1012ea57a8f2191be6149f632250f7036119cc
pₒₚc电影,http://cdn.zhibotv.top:9001/jrys.php?id=POPC&token=8d81b272dc5f5248015f14f0ae3d6870
pₒₚc电影,https://mysupertv.pendy.dpdns.org/PopC/popc.m3u8?token=8d81b272dc5f5248015f14f0ae3d6870
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华电影,https://cdn3.132.us.kg/live/lhdy/stream.m3u8
龙华电影,https://smt.iktv.ddns-ip.net/Smart.php?id=xingwei_movie&ts=130155_1749078299.ts&token=03096c141f06e360d4f5ad418bf6a39d%3A1749142928&token=8d81b272dc5f5248015f14f0ae3d6870
龙华经典,https://cdn3.132.us.kg/live/lhjd/stream.m3u8
龙华偶像,https://cdn3.132.us.kg/live/lhox/stream.m3u8
龙华日韩,https://cdn3.132.us.kg/live/lhrh/stream.m3u8
龙华戏剧,https://cdn3.132.us.kg/live/lhxj/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龙华卡通,https://cdn3.132.us.kg/live/lhkt/stream.m3u8
中天新聞,http://www.xitv.top/021il.php?id=ctinews
东森综合,http://ali.hlspull.yximgs.com/live/awei_dszh.flv
东森超视,http://ali.hlspull.yximgs.com/live/awei_dscs.flv
东森LIVE,https://s1.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
东森新闻,https://s1.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
东森幼幼,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森电影,https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
东森洋片,https://s1.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
中天新闻,https://ali.hlspull.yximgs.com/live/167ztxw2.flv
中天娱乐,https://ali.hlspull.yximgs.com/live/167ztyl.flv
中天综合,http://ali.hlspull.yximgs.com/live/awei_ztzh.flv
中天亚洲,http://ali.hlspull.yximgs.com/live/awei_ztyz.flv
三立LIVE,http://ali.hlspull.yximgs.com/live/huanqiuhklivehmcyoywjjubjfdjfvchtcbsjjjvfjhncvndvbsxcbmjsllive.flv
三立news,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立综合,http://aktv_stream.m16tv.cfd/stream/taiwan/null-6/AKTV.m3u8
三立都会,https://haoyunlai.serv00.net/Smartv-1.php?id=sanlidouhui_twn
寰宇新闻,https://ali.hlspull.yximgs.com/live/167_hyxw.flv
星空卫视,http://171.213.157.52:9999/udp/239.93.1.10:2193
爱尔达娱乐,http://ali.hlspull.yximgs.com/live/awei_aedyl.flv
爱尔达体育,http://50.7.234.10:8278/eltasport2_twn/playlist.m3u8?tid=MCDC5093685750936857&ct=19225&tsum=592e009b281ea2abc43b21768cb1bec0
爱尔达影剧,https://ali.hlspull.yximgs.com/live/moa23.flv
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMoTV,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
